transaction_id,date,time,day_of_week,customer_id,first_name,last_name,email,state,zip,street,city,phone,product,sale_price,returned
294e63f6-c6d3-4392-9991-29513874fbbd,2018-07-27,05:13:37,Friday,19710,Amanda,Weber,brichardson@example.org,Iowa,62736,292 Jones Hills,South Joseph,(497)740-6101x1146,Total grid-enabled Graphical User Interface,61.18,False
46882d27-7d12-4e1d-8aab-929fba924945,2021-09-11,13:57:48,Saturday,31066,Frederick,Hart,coxjessica@example.com,Wyoming,03254,76490 White Cove,Charlesfort,1396078600,Networked fault-tolerant standardization,137.2,True
3dbccb99-55a3-458f-a68b-44cb92e4686f,2020-05-18,03:27:06,Monday,73764,Ryan,Walker,brendalee@example.com,Hawaii,47677,1990 Taylor Underpass,Bethville,204.484.5016x460,Intuitive executive monitoring,30.38,False
f2dcd898-8864-4856-af72-d85d130939c6,2021-04-26,03:09:05,Monday,53467,Vicki,Cannon,michaeljames@example.org,Kentucky,33860,06621 Calvin River,North Jeffshire,+1-558-882-5826x627,Vision-oriented radical challenge,135.03,True
8cb93755-e5c9-4c5d-a3e8-b3e30da39c02,2021-07-02,16:20:29,Friday,89845,Jason,Cox,lawrencescott@example.org,Oregon,05635,5594 Richard Square,Powellhaven,001-545-820-1574x16750,Advanced bottom-line policy,75.12,True
ae647309-a4e9-494f-82dc-8cbe2b659d52,2020-01-31,05:48:54,Friday,90972,Sarah,Walker,tmason@example.net,Arizona,63936,54950 Edward Way Apt. 744,Jonesborough,(542)447-7229x779,Right-sized eco-centric core,85.27,True
fa92bf78-9656-45ef-a752-f2189d036f9c,2021-03-29,13:56:05,Monday,83900,Victoria,Miles,leonardkimberly@example.org,Ohio,52187,152 Powell Tunnel,New Lauren,781.166.3409x17172,Persevering optimizing monitoring,125.26,True
4f47dbb8-04d5-403c-ac58-1c2f357680be,2021-05-12,21:20:46,Wednesday,18350,Anita,Henry,downsvincent@example.net,Washington,40557,60022 Levine Fort Apt. 668,East Thomasberg,(001)512-3082,Diverse solution-oriented Graphic Interface,87.94,True
4cb4e738-040c-4ebc-8b1b-41af3d26500a,2021-09-09,04:31:44,Thursday,68457,Mike,Thomas,wilsonkaren@example.com,Arizona,47916,91435 Williams Burgs,New Timothy,961-929-9256x6112,Total human-resource budgetary management,49.69,False
b21c443d-a75a-4932-9779-e9a832c22e1d,2021-11-27,21:17:51,Saturday,12497,Mark,Baker,james26@example.net,Washington,59217,152 Timothy Manor,Chelseyport,+1-620-103-6587,Open-source 4thgeneration ability,108.09,True
a739cc6f-0fd8-40a5-a617-93e14462ebed,2022-02-01,16:56:59,Tuesday,73193,Amber,Lawson,hickmanphilip@example.net,New Hampshire,93791,806 Washington Flat Apt. 792,Perryside,277.318.5068x0951,Programmable well-modulated parallelism,116.28,True
fea6db1c-605d-4bc6-bb1c-2c23bfad5f5d,2019-06-11,20:47:58,Tuesday,48831,Timothy,Taylor,alexis08@example.net,Arizona,50984,7285 Vazquez Hills Suite 311,Erikchester,185.933.8585,Integrated intangible open system,44.14,False
66191774-eba0-4f8e-a187-243e51b404b9,2020-04-09,09:41:29,Thursday,16422,Jose,Jackson,xwalton@example.net,Tennessee,17854,64520 Vasquez Falls Suite 965,Brandihaven,(103)008-7850x009,Upgradable full-range ability,106.72,True
06e806e6-ed1a-48d9-b027-f09b00ed179d,2019-03-31,04:15:27,Sunday,73193,Amber,Lawson,hickmanphilip@example.net,New Hampshire,93791,806 Washington Flat Apt. 792,Perryside,277.318.5068x0951,Fully-configurable clear-thinking adapter,96.95,True
31b4fca0-fe85-4dbd-bfca-fe1fe73e13c8,2021-04-24,14:38:13,Saturday,21316,Glenn,Austin,robert20@example.org,Florida,04690,896 William Overpass,Port Jamie,877-669-8152x21743,Quality-focused hybrid service-desk,55.44,False
51dbffdb-d46e-40e5-8fdb-bb3ca4f41b3d,2020-04-04,04:24:48,Saturday,31264,Matthew,Hoover,edwardsjuan@example.net,Idaho,73316,49957 Shaffer Flats,New Gloriafurt,941-618-3233x522,Multi-tiered tangible functionalities,103.36,True
